"Legal Entity Name","Organization Marketing Name","Contract Number","Organization Type","Plan Type","Contract Effective Date","Tax Status","Parent Organization","CMS Region Responsible","Enrollment","Legal Entity Street","Legal Entity Street2","Legal Entity City","Legal Entity State Code","Legal Entity Zip","Directory Contact Title","Directory Contact Last Name","Directory Contact First Name","Directory Contact Middle Initial","Directory Contact Phone","Directory Contact Phone Ext","Directory Contact Fax","Directory Contact Email","Directory Contact St Address","Directory Contact St Address2","Directory Contact City","Directory Contact State","Directory Contact Zip","Directory Contact Last Update"
"TRINITY HEALTH LIFE PENNSYLVANIA, INC.","Mercy LIFE - West Philadelphia","H3908","National PACE","National PACE","01/01/2002","Not-for-Profit/Non-Profit","Trinity Health","Philadelphia","387","4508 CHESTNUT STREET","","PHILADELPHIA","PA","19139","Executive Director","Crumley","Molly","","1-267-787-8150","","","mcrumley@trinity-health.org","4508 Chestnut Street","","Philadelphia","PA","19139","09/22/2020"
"TRIPLE S ADVANTAGE, INC.","Triple-S Advantage","H4005","Local CCP","Local PPO","01/01/2005","For Profit","Triple-S Management Corporation","New York","10,894","PO BOX 11320","","SAN JUAN","PR","00922","Senior VP, Medical Groups","Juarbe","Dorelisse","","1-787-749-4949","8324085","1-787-620-0939","dorelissej@sssadvantage.com","PO Box 11320","","San Juan","PR","00922","10/16/2019"
"TRIPLE S ADVANTAGE, INC.","Triple S Advantage","H5774","Local CCP","HMO/HMOPOS","01/01/2006","For Profit","Triple-S Management Corporation","New York","125,894","PO Box 11320","","San Juan","PR","00922","Senior VP, Medical Groups","Juarbe","Dorelisse","","1-787-749-4949","8324085","1-787-620-0939","dorelissej@sssadvantage.com","PO Box 11320","","San Juan","PR","00922","10/16/2019"
"TROY HEALTH, INC.","Troy Medicare","H4676","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Troy Holdings, Inc.","Atlanta","260","615 South College St. FL 10","","Charlotte","NC","28202","","Simihaian","Flaviu","","1-704-275-8900","111","","ceo@troymedicare.com","615 S. College St","10F","Charlotte","NC","28202","03/17/2020"
"TRU COMMUNITY CARE","TRU PACE","H7262","National PACE","National PACE","02/01/2017","Not-for-Profit/Non-Profit","TRU Community Care","Denver","198","2594 Trailridge Drive East","","Lafayette","CO","80026","PACE Community Relations","Morelli","Selina","","1-303-604-5356","","","SelinaMorelli@trucare.org","2593 Park Lane","","Lafayette","CO","80026","09/03/2020"
"TSG GUARD, INC.","Valor Health Plan","H1119","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","The Schroer Group, Inc.","Chicago","490","7171 Keck Park Circle NW","","North Canton","OH","44720","Information Services Dire","Cook","Donna","","1-501-255-1816","","","dcook@access-healthservices.com","One Riverfront Place, Suite 425","","North Little Rock","AR","72114","01/30/2018"
"TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION","Tufts Health Plan","H2256","Local CCP","HMO/HMOPOS","07/01/1994","Not-for-Profit/Non-Profit","Tufts Health Plan, Inc","Boston","103,993","705 Mount Auburn Street","","Watertown","MA","02472","Production Specialist","Kayser","Kenneth","","1-617-972-9400","29527","","kenneth_kayser@tufts-health.com","705 Mount Auburn Street","","Watertown","MA","02472","06/27/2019"
"TUFTS HEALTH PUBLIC PLANS, INC.","Tufts Health Plan","H7419","Demo","Medicare-Medicaid Plan HMO/HMOPOS","10/01/2013","Not-for-Profit/Non-Profit","Tufts Health Plan, Inc","Boston","3,320","705 Mount Auburn Street","","Watertown","MA","02472","Director, Contracting and","Brown","Jason","","1-617-972-9400","95314","","Jason_brown@tufts-health.com","705 Mount Auburn Street","","Watertown","MA","02472","11/15/2018"
"UCARE HEALTH, INC.","UCare","H8783","Local CCP","Local PPO","01/01/2019","Not-for-Profit/Non-Profit","UCare Minnesota","Chicago","2,006","500 Stinson Blvd NE","","Minneapolis","MN","55413","Customer Service Workforc","Vang","Pakou","","1-612-676-3585","","","pvang@ucare.org","500 Stinson Boulevard NE","","Minneapolis","MN","55413","03/08/2018"
"UCARE HEALTH, INC.","UCare","H0422","Local CCP","HMO/HMOPOS","01/01/2019","Not-for-Profit/Non-Profit","UCare Minnesota","Chicago","568","500 Stinson Blvd NE","","Minneapolis","MN","55413","Customer Service Workforc","Vang","Pakou","","1-612-676-3585","","","pvang@ucare.org","500 Stinson Boulevard NE","","Minneapolis","MN","55413","03/08/2018"
"UCARE MINNESOTA","UCare","H2459","Local CCP","HMO/HMOPOS","05/01/1998","Not-for-Profit/Non-Profit","UCare Minnesota","Chicago","102,669","500 Stinson Boulevard NE","","MINNEAPOLIS","MN","55413","Customer Service Workforc","Vang","Pakou","","1-612-676-3585","","","pvang@ucare.org","500 Stinson Boulevard NE","","Minneapolis","MN","55413","03/08/2018"
"UCARE MINNESOTA","UCare's MSHO","H2456","Local CCP","HMO/HMOPOS","01/01/1997","Not-for-Profit/Non-Profit","UCare Minnesota","Chicago","13,903","500 Stinson Blvd NE","","MINNEAPOLIS","MN","55413","Customer Service Workforc","Vang","Pakou","","1-612-676-3585","","","pvang@ucare.org","500 Stinson Boulevard NE","","Minneapolis","MN","55413","03/08/2018"
"UCARE MINNESOTA","UCare","H5937","Local CCP","HMO/HMOPOS","01/01/2017","Not-for-Profit/Non-Profit","UCare Minnesota","Chicago","4,826","500 Stinson Blvd. NE","","Minneapolis","MN","55413","Customer Service Workforc","Vang","Pakou","","1-612-676-3585","","","pvang@ucare.org","500 Stinson Boulevard NE","","Minneapolis","MN","55413","03/08/2018"
"UHC OF CALIFORNIA","UnitedHealthcare","H0543","Local CCP","HMO/HMOPOS","06/01/1985","For Profit","UnitedHealth Group, Inc.","San Francisco","374,288","5701 Katella Avenue","","Cypress","CA","90630","","Service","Customer","","1-800-950-9355","","","cs_evercare@uhc.com","PO Box 29675","","Hot Springs","AR","71903","05/09/2018"
"ULTIMATE HEALTH PLANS, INC.","Ultimate Health Plans","H2962","Local CCP","HMO/HMOPOS","01/01/2013","For Profit","ULTIMATE HEALTH PLAN, INC.","Atlanta","7,500","1244 Mariner Boulevard","","Spring Hill","FL","34609","Chief Compliance Officer","Pinilla","Isis","","1-352-515-5932","","1-352-835-7169","ipinilla@ulthp.com","1244 Mariner Blvd.","","Spring Hill","FL","34609","05/19/2020"
"UNION HEALTH SERVICES, INC.","Union Health Service, Inc.","H6142","HCPP - 1833 Cost","HCPP - 1833 Cost","02/01/1983","Not-for-Profit/Non-Profit","Union Health Services, Inc.","Chicago","1,950","1634 WEST POLK STREET","","CHICAGO","IL","60612","","","","","","","","","","","","","",""
"UNION PACIFIC RAILROAD EMPLOYES HEALTH SYSTEMS","Union Pacific Railroad Employes Health Systems","H4652","HCPP - 1833 Cost","HCPP - 1833 Cost","12/01/1993","Not-for-Profit/Non-Profit","Union Pacific Railroad Employes Health Systems","Denver","11,731","1040 North 2200 West  Suite 200","","Salt Lake City","UT","84116","Manager Network","Gilbert","Michele","D","1-801-595-4384","","1-801-595-2084","apnewberry@uphealth.com","1040 N 2200 W Suite 200","","Salt Lake City","UT","84116","01/26/2018"
"UNITED MINE WORKERS OF AMERICA HLTH & RETIREMENT","United Mine Workers of America Health & Retirement","90091","HCPP - 1833 Cost","HCPP - 1833 Cost","02/01/1974","Not-for-Profit/Non-Profit","UMWA Health and Retirement Funds","Philadelphia","45,935","2121 K STREET, N.W.","SUITE 350","WASHINGTON","DC","20037","","Call Center","Health","","1-800-291-1425","","1-304-256-2626","Health1@umwafunds.org","UMWA Health and Retirement Funds","160 Heartland Drive","Beckley","WV","25802","10/21/2016"
"UNITEDHEALTHCARE BENEFITS OF TEXAS, INC.","UnitedHealthcare","H4590","Local CCP","HMO/HMOPOS","11/01/1987","For Profit","UnitedHealth Group, Inc.","San Francisco","298,310","1311 W President George Bush Highway","","Richardson","TX","75080","","Service","Customer","","1-800-950-9355","","","cs_evercare@uhc.com","PO Box 29675","","Hot Springs","AR","71903","06/13/2018"
"UNITEDHEALTHCARE COMMUNITY PLAN OF CALIFORNIA, INC","UnitedHealthcare","H1375","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","UnitedHealth Group, Inc.","San Francisco","984","4365 Executive Drive, Suite 500","","San Diego","CA","92121","","Service","Customer","","1-800-950-9355","","","cs_evercare@uhc.com","PO Box 29675","","Hot Springs","AR","71903","09/23/2019"
"UNITEDHEALTHCARE COMMUNITY PLAN OF OHIO, INC.","UnitedHealthcare Community Plan","H2531","Demo","Medicare-Medicaid Plan HMO/HMOPOS","05/01/2014","For Profit","UnitedHealth Group, Inc.","Chicago","14,925","5900 Parkwood Place","","Dublin","OH","43016","","Community Plan","UHC","","1-877-542-9236","","","cs_evercare@uhc.com","PO Box 31364","","Salt Lake City","UT","84131","05/10/2018"
"UNITEDHEALTHCARE COMMUNITY PLAN OF TEXAS, L.L.C.","UnitedHealthcare","H4514","Local CCP","HMO/HMOPOS","08/01/2002","For Profit","UnitedHealth Group, Inc.","San Francisco","36,810","14141 S W Freeway","Suite 800","Sugarland","TX","77478","","Service","Customer","","1-800-643-4845","","","cs_evercare@uhc.com","PO Box 29675","","Hot Springs","AR","71903","06/12/2018"
"UNITEDHEALTHCARE COMMUNITY PLAN OF TEXAS, L.L.C.","UnitedHealthcare","H7833","Demo","Medicare-Medicaid Plan HMO/HMOPOS","03/01/2015","For Profit","UnitedHealth Group, Inc.","Dallas","4,626","14141 S W Freeway","Suite 800","Sugarland","TX","77478","","Community Plan","UHC","","1-800-256-6533","","","cs_evercare@uhc.com","PO Box 31364","","Salt Lake City","UT","84131","06/12/2018"
"UNITEDHEALTHCARE COMMUNITY PLAN, INC.","UnitedHealthcare","H2247","Local CCP","HMO/HMOPOS","01/01/2018","For Profit","UnitedHealth Group, Inc.","San Francisco","6,011","26957 Northwestern Hwy","Suite 400","Southfield","MI","48033","","Lakes Health Plan","Great","","1-888-903-7587","","","cs_evercare@uhc.com","26957 Northwestern Highway","Suite 400","Southfield","MI","48033","05/09/2018"
"UNITEDHEALTHCARE INSURANCE CO OF THE RIVER VALLEY","UnitedHealthcare","R1548","Regional CCP","Regional PPO","01/01/2018","For Profit","UnitedHealth Group, Inc.","San Francisco","47,462","1 KONE Court","101 17th Street, Suite 301","Moline","IL","61265","","Lakes Health Plan","Great","","1-888-903-7587","","","cs_evercare@uhc.com","26957 Northwestern Highway","Suite 400","Southfield","MI","48033","06/12/2018"
"UNITEDHEALTHCARE INSURANCE CO OF THE RIVER VALLEY","UnitedHealthcare","H8768","Local CCP","Local PPO","01/01/2018","For Profit","UnitedHealth Group, Inc.","San Francisco","68,336","1 KONE Court","101 17th Street, Suite 301","Moline","IL","61265","","Service","Customer","","1-800-643-4845","","","cs_evercare@uhc.com","PO Box 29675","","Hot Springs","AR","71903","06/12/2018"
"UNITEDHEALTHCARE INSURANCE CO OF THE RIVER VALLEY","Piedmont Medicare Advantage","H1659","Local CCP","Local PPO","01/01/2011","For Profit","UnitedHealth Group, Inc.","San Francisco","4,997","1 KONE Court","101 17th Street, Suite 301","Moline","IL","61265","","Service","Customer","","1-800-643-4845","","","cs_evercare@uhc.com","PO Box 29675","","Hot Springs","AR","71903","10/04/2019"
"UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","H5435","PFFS","PFFS","09/01/2005","For Profit","UnitedHealth Group, Inc.","San Francisco","13,221","185 Asylum Street","","Hartford","CT","061030450","","Service","Customer","","1-866-579-8774","","","cs_evercare@uhc.com","PO Box 29675","","Hot Springs","AR","71903","06/13/2018"
"UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","H5008","Local CCP","HMO/HMOPOS","07/01/2005","For Profit","UnitedHealth Group, Inc.","San Francisco","67,699","185 Asylum Street","","Hartford","CT","061030450","","Service","Customer","","1-800-393-0993","","","sherry.weisner@uhc.com","PO Box 29675","","Hot Springs","AR","71903","05/07/2018"
"UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","H0624","Local CCP","HMO/HMOPOS","07/01/2005","For Profit","UnitedHealth Group, Inc.","San Francisco","13,987","185 Asylum Street","","Hartford","CT","061030450","","Service","Customer","","1-866-480-1086","","","cs_evercare@uhc.com","PO Box 29675","","Hot Springs","AR","71903","05/09/2018"
"UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","H2406","Local CCP","Local PPO","06/01/2001","For Profit","UnitedHealth Group, Inc.","San Francisco","146,181","185 Asylum Street","","Hartford","CT","061030450","","Service","Customer","","1-800-643-4845","","","cs_evercare@uhc.com","PO Box 29675","","Hot Springs","AR","71903","05/09/2018"
"UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","R7444","Regional CCP","Regional PPO","01/01/2009","For Profit","UnitedHealth Group, Inc.","San Francisco","22,894","185 Asylum Street","","Hartford","CT","061030450","","Service","Customer","","1-800-643-4845","","","cs_evercare@uhc.com","PO Box 29675","","Hot Springs","AR","71903","06/12/2018"
"UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","R3175","Regional CCP","Regional PPO","01/01/2006","For Profit","UnitedHealth Group, Inc.","San Francisco","4,676","185 Asylum Street","","Hartford","CT","061030450","","Service","Customer","","1-800-457-8506","","","cs_evercare@uhc.com","PO Box 29675","","Hot Springs","AR","71903","06/12/2018"
"UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","R2604","Regional CCP","Regional PPO","01/01/2020","For Profit","UnitedHealth Group, Inc.","San Francisco","227,849","185 Asylum Street","","Hartford","CT","061030450","","Service","Customer","","1-800-950-9355","","","cs_evercare@uhc.com","PO Box 29675","","Hot Springs","AR","71903","09/23/2019"
"UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","R0759","Regional CCP","Regional PPO","01/01/2020","For Profit","UnitedHealth Group, Inc.","San Francisco","154,682","185 Asylum Street","","Hartford","CT","061030450","","Service","Customer","","1-800-950-9355","","","cs_evercare@uhc.com","PO Box 29675","","Hot Springs","AR","71903","09/23/2019"
"UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","H2228","Local CCP","Local PPO","01/01/2005","For Profit","UnitedHealth Group, Inc.","San Francisco","308,512","185 Asylum Street","","Hartford","CT","061030450","","Service","Customer","","1-800-393-0993","","","cs_evercare@uhc.com","PO Box 29675","","Hot Springs","AR","71903","05/09/2018"
"UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","H2226","Local CCP","HMO/HMOPOS","03/01/2004","For Profit","UnitedHealth Group, Inc.","San Francisco","19,289","185 Asylum Street","","Hartford","CT","061030450","","Care Options","UHC Senior","","1-888-867-5511","","","cs_evercare@uhc.com","PO Box 29675","","Hot Springs","AR","71903","05/09/2018"
"UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","H8748","Local CCP","HMO/HMOPOS","01/01/2009","For Profit","UnitedHealth Group, Inc.","San Francisco","28,153","185 Asylum Street","","Hartford","CT","061030450","","Service","Customer","","1-800-643-4845","","","cs_evercare@uhc.com","PO Box 29675","","Hot Springs","AR","71903","06/12/2018"
"UNITEDHEALTHCARE INSURANCE COMPANY OF ILLINOIS","UnitedHealthcare","H3442","Local CCP","Local PPO","01/01/2020","For Profit","UnitedHealth Group, Inc.","San Francisco","25,830","200 East Randolph Street, Suite 5300","","Chicago","IL","60601","","Service","Customer","","1-800-950-9355","","","cs_evercare@uhc.com","PO Box 29675","","Hot Springs","AR","71903","09/23/2019"
"UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK","UnitedHealthcare","R5342","Regional CCP","Regional PPO","01/01/2006","For Profit","UnitedHealth Group, Inc.","San Francisco","115,549","2950 Expressway Drive","Suite 240","Islandia","NY","117491412","","Service","Customer","","1-800-711-6088","","","cs_evercare@uhc.com","PO Box 29675","","Hot Springs","AR","71903","06/12/2018"
"UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK","UnitedHealthcare","H3418","Local CCP","Local PPO","01/01/2020","For Profit","UnitedHealth Group, Inc.","San Francisco","17,346","2950 Expressway Drive, Suite 240","","Islandia","NY","117491412","","Service","Customer","","1-800-950-9355","","","cs_evercare@uhc.com","PO Box 29675","","Hot Springs","AR","71903","09/23/2019"
"UNITEDHEALTHCARE OF ALABAMA, INC.","UnitedHealthcare","H0432","Local CCP","HMO/HMOPOS","01/01/2018","For Profit","UnitedHealth Group, Inc.","San Francisco","45,290","33 Inverness Center Parkway","","Birmingham","AL","35242","","Service","Customer","","1-800-643-4845","","","cs_evercare@uhc.com","PO Box 29675","","Hot Springs","AR","71903","05/09/2018"
"UNITEDHEALTHCARE OF ARKANSAS, INC.","UnitedHealthcare","H3464","Local CCP","HMO/HMOPOS","01/01/2018","For Profit","UnitedHealth Group, Inc.","San Francisco","18,027","1401 West Capitol Avenue","Third Floor, Suite 375","Little Rock","AR","722012994","","Service","Customer","","1-800-643-4845","","","cs_evercare@uhc.com","PO Box 29675","","Hot Springs","AR","71903","05/14/2018"
"UNITEDHEALTHCARE OF FLORIDA, INC.","UnitedHealthcare","H1889","Local CCP","Local PPO","01/01/2020","For Profit","UnitedHealth Group, Inc.","San Francisco","1,556","495 North Keller Road, Suite 200","","Maitland","FL","32751","","Service","Customer","","1-800-950-9355","","","cs_evercare@uhc.com","PO Box 29675","","Hot Springs","AR","71903","09/23/2019"
"UNITEDHEALTHCARE OF GEORGIA, INC.","UnitedHealthcare","H1111","Local CCP","HMO/HMOPOS","07/01/2005","For Profit","UnitedHealth Group, Inc.","San Francisco","13,957","3720 Davinci Court","Suite 300","Norcross","GA","30092","","Service","Customer","","1-800-643-4845","","","cs_evercare@uhc.com","PO Box 29675","","Hot Springs","AR","71903","05/09/2018"
"UNITEDHEALTHCARE OF ILLINOIS, INC.","UnitedHealthcare","H7445","Local CCP","HMO/HMOPOS","01/01/2018","For Profit","UnitedHealth Group, Inc.","San Francisco","*","200 East Randolph Street Suite 5300","","Chicago","IL","60601","","Lakes Health Plan","Great","","1-800-643-4845","","","cs_evercare@uhc.com","26957 Northwestern Highway","Suite 400","Southfield","MI","48033","06/12/2018"
"UNITEDHEALTHCARE OF KENTUCKY, LTD.","UnitedHealthcare","H6595","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","UnitedHealth Group, Inc.","San Francisco","4,402","230 Lexington Green Circle Suite 400","","Lexington","KY","40503","","Lakes Health Plan","Great","","1-888-903-7587","","","cs_evercare@uhc.com","26957 Northwestern Highway","Suite 400","Southfield","MI","48033","06/12/2018"
"UNITEDHEALTHCARE OF NEW ENGLAND, INC.","UnitedHealthcare","H1944","Local CCP","HMO/HMOPOS","01/01/2008","For Profit","UnitedHealth Group, Inc.","San Francisco","78,547","Mail Route # RI010-3400, 475 Kilvert Street","Suite 310","Warwick","RI","028861392","","Service","Customer","","1-800-643-4845","","","cs_evercare@uhc.com","PO Box 29675","","Hot Springs","AR","71903","05/09/2018"
"UNITEDHEALTHCARE OF NEW MEXICO, INC.","UnitedHealthcare","H6526","Local CCP","HMO/HMOPOS","01/01/2018","For Profit","UnitedHealth Group, Inc.","San Francisco","8,591","8220 San Pedro NE, Suite 300","","Albuquerque","NM","87113","","Service","Customer","","1-800-643-4845","","","cs_evercare@uhc.com","PO Box 29675","","Hot Springs","AR","71903","06/13/2018"
"UNITEDHEALTHCARE OF NEW YORK, INC.","UnitedHealthcare","H3387","Local CCP","HMO/HMOPOS","01/01/1999","For Profit","UnitedHealth Group, Inc.","San Francisco","107,199","77 Water Street","14th/15th Floor","NEW YORK","NY","10005","","Complete","UHC Dual","","1-800-514-4912","","","cs_evercare@uhc.com","PO Box 917","","New York","NY","10268","05/14/2018"
"UNITEDHEALTHCARE OF NEW YORK, INC.","UnitedHealthcare","H3379","Local CCP","HMO/HMOPOS","03/01/1997","For Profit","UnitedHealth Group, Inc.","San Francisco","33,161","77 Water Street","14th/15th Floor","New York","NY","10005","","Service","Customer","","1-800-643-4845","","","cs_evercare@uhc.com","PO Box 29675","","Hot Springs","AR","71903","05/11/2018"
"UNITEDHEALTHCARE OF OKLAHOMA, INC.","UnitedHealthcare","H3749","Local CCP","HMO/HMOPOS","01/01/1991","For Profit","UnitedHealth Group, Inc.","San Francisco","30,330","7666 East 61st Street","Suite 500","TULSA","OK","741331112","","Service","Customer","","1-800-950-9355","","","cs_evercare@uhc.com","PO Box 29675","","Hot Springs","AR","71903","05/21/2018"
"UNITEDHEALTHCARE OF OREGON, INC.","UnitedHealthcare","H1286","Local CCP","HMO/HMOPOS","01/01/2007","For Profit","UnitedHealth Group, Inc.","San Francisco","20,744","Five Centerpointe Drive","Suite 600","Lake Oswego","OR","97035","","Service","Customer","","1-800-643-4845","","","cs_evercare@uhc.com","PO Box 29675","","Hot Springs","AR","71903","05/09/2018"
"UNITEDHEALTHCARE OF OREGON, INC.","UnitedHealthcare","H3805","Local CCP","HMO/HMOPOS","01/01/1986","For Profit","UnitedHealth Group, Inc.","San Francisco","156,913","Five Centerpointe Drive","Suite 600","Lake Oswego","OR","97035","","Service","Customer","","1-800-950-9355","","","cs_evercare@uhc.com","PO Box 29675","","Hot Springs","AR","71903","05/23/2018"
"UNITEDHEALTHCARE OF THE MID-ATLANTIC, INC.","UnitedHealthcare","H7464","Local CCP","HMO/HMOPOS","01/01/2018","For Profit","UnitedHealth Group, Inc.","San Francisco","7,351","800 King Farm Boulevard","","Rockville","MD","208505979","","Lakes Health Plan","Great","","1-888-903-7587","","","cs_evercare@uhc.com","26957 Northwestern Highway","Suite 400","Southfield","MI","48033","06/12/2018"
"UNITEDHEALTHCARE OF THE MIDLANDS, INC.","UnitedHealthcare","H2802","Local CCP","HMO/HMOPOS","10/01/1985","For Profit","UnitedHealth Group, Inc.","San Francisco","250,427","2717 North 118th Street","","Omaha","NE","681649672","","Service","Customer","","1-800-643-4845","","","cs_evercare@uhc.com","PO Box 29675","","Hot Springs","AR","71903","05/10/2018"
"UNITEDHEALTHCARE OF THE MIDWEST, INC.","UnitedHealthcare","H0169","Local CCP","HMO/HMOPOS","01/01/2018","For Profit","UnitedHealth Group, Inc.","San Francisco","40,993","13655 Riverport Drive","PO Box 2560","Maryland Heights","MO","630434812","","Lakes Health Plan","Great","","1-888-903-7587","","","cs_evercare@uhc.com","26957 Northwestern Highway","Suite 400","Southfield","MI","48033","05/09/2018"
"UNITEDHEALTHCARE OF UTAH, INC.","UnitedHealthcare","H4604","Local CCP","HMO/HMOPOS","01/01/2005","For Profit","UnitedHealth Group, Inc.","San Francisco","89,626","2525 Lake Park Boulevard","","Salt Lake City","UT","84120","","Service","Customer","","1-800-643-4845","","","cs_evercare@uhc.com","PO Box 29675","","Hot Springs","AR","71903","06/13/2018"
"UNITEDHEALTHCARE OF WISCONSIN, INC.","UnitedHealthcare","H5253","Local CCP","HMO/HMOPOS","08/01/1995","For Profit","UnitedHealth Group, Inc.","San Francisco","619,533","10701 West Research Drive","Post Office Box 26649","Wauwatosa","WI","532260649","","Service","Customer","","1-800-643-4845","","","cs_evercare@uhc.com","PO Box 29675","","Hot Springs","AR","71903","06/13/2018"
"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.","UnitedHealthcare","H0251","Local CCP","HMO/HMOPOS","01/01/2007","For Profit","UnitedHealth Group, Inc.","San Francisco","62,457","1 KONE","101 17th Street, Suite 301","Moline","IL","61265","","Lakes Health Plan","Great","","1-800-690-1606","","","cs_evercare@uhc.com","8 Cadillac Drive","Suite 100","Brentwood","TN","37027","05/09/2018"
"UNIVERSAL CARE, INC.","Brand New Day","H0838","Local CCP","HMO/HMOPOS","04/01/2006","For Profit","Universal Care, Inc","San Francisco","53,128","5455 Garden Grove Blvd","Suite 500","Westminster","CA","92683","Executive Vice President","Snyder","Connie","","1-866-255-4795","5054","1-657-400-1212","compliance@universalcare.com","5455 Garden Grove Blvd.","Suite 500","Westminster","CA","92683","08/22/2014"
"UNIVERSITY OF MARYLAND HEALTH ADVANTAGE, INC.","University of Maryland Health Advantage","H8854","Local CCP","HMO/HMOPOS","01/01/2016","For Profit","University of Maryland Medical System Corporation","Philadelphia","6,314","1966 Greenspring Drive","Suite 100","Timonium","MD","21093","","Services","Member","","1-844-386-6762","","","contactus@ummshealthplans.com","1966 Greenspring Drive, Suite 100","","Timonium","MD","21093","07/09/2019"
"UPHAMS CORNER HEALTH COMMITTEE, INC.","Uphams Corner Health Committee, Inc.","H2220","National PACE","National PACE","11/01/2002","Not-for-Profit/Non-Profit","Uphams Corner Health Committee, Inc.","Boston","246","500 Columbia Road","Mail Stop 1140-08","DORCHESTER","MA","02125","Director of Operations","Roach","Nancy","","1-617-288-0970","","1-617-474-0757","nroach@uphams.org","1140 Dorchester Ave","","Dorchester","MA","02125","04/22/2016"
"UPMC FOR YOU, INC","UPMC for Life Complete Care","H4279","Local CCP","HMO/HMOPOS","01/01/2012","Not-for-Profit/Non-Profit","UPMC Health System","Philadelphia","34,570","USX Tower, 55th Floor","600 Grant Street","Pittsburgh","PA","15219","","Marketing","Medicare","","1-877-381-3765","","","upmchp@upmc.edu","USX Tower, 9th Floor","600 Grant Street","Pittsburgh","PA","15219","03/23/2012"
"UPMC HEALTH COVERAGE, INC.","UPMC for Life Complete Care","H7123","Local CCP","HMO/HMOPOS","01/01/2020","Not-for-Profit/Non-Profit","UPMC Health System","Philadelphia","798","600 Grant Street","","Pittsburgh","PA","15219","","Marketing","Medicare","","1-877-381-3765","","","upmchp@upmc.edu","USX Tower, 9th Floor","600 Grant Street","Pittsburgh","PA","15219","01/16/2019"
"UPMC HEALTH NETWORK, INC.","UPMC for Life","H5533","Local CCP","Local PPO","01/01/2006","For Profit","UPMC Health System","Philadelphia","8,775","USX Tower, 55th Floor","600 Grant Street","Pittsburgh","PA","15219","","Marketing","Medicare","","1-877-381-3765","","","upmchp@upmc.edu","USX Tower, 9th Floor","600 Grant Street","Pittsburgh","PA","15219","03/23/2012"
"UPMC HEALTH PLAN, INC.","UPMC for Life","H3907","Local CCP","HMO/HMOPOS","01/01/2001","For Profit","UPMC Health System","Philadelphia","152,895","USX Tower, 55th Floor","600 Grant Street","PITTSBURGH","PA","15219","","Marketing","Medicare","","1-877-381-3765","","","upmchp@upmc.edu","USX Tower, 9th Floor","600 Grant Street","Pittsburgh","PA","15219","03/23/2012"
"UPPER PENINSULA HEALTH PLAN, LLC","Upper Peninsula Health Plan","H2161","Local CCP","HMO/HMOPOS","01/01/2011","For Profit","DLP Marquette General Hospital, LLC","Chicago","840","853 W. Washington Street","","Marquette","MI","49855","Government Programs Manag","OMeara","Maureen","","1-906-225-1177","","","momeara@uphp.com","853 W. Washington Street","","Marquette","MI","49855","07/20/2020"
"UPPER PENINSULA HEALTH PLAN, LLC","Upper Peninsula Health Plan (UPHP) MI Health Link","H1977","Demo","Medicare-Medicaid Plan HMO/HMOPOS","03/01/2015","For Profit","DLP Marquette General Hospital, LLC","Chicago","4,262","853 W. Washington Street","","Marquette","MI","49855","Government Programs Manag","OMeara","Maureen","","1-906-225-1177","","1-906-225-8785","momeara@uphp.com","853 W. Washington Street","","Marquette","MI","49855","07/20/2020"
"USABLE MUTUAL INSURANCE COMPANY","Arkansas Blue Medicare","H4213","PFFS","PFFS","01/01/2010","Not-for-Profit/Non-Profit","USAble Mutual Insurance Company","Dallas","7,319","601 GAINES STREET","","LITTLE ROCK","AR","72201","","Service","Customer","","1-844-201-4934","","","MediPakAdvRx@arkbluecross.com","P O Box 3648","","Little Rock","AR","72203","11/06/2020"
"VALIR PACE FOUNDATION","Valir PACE Foundation","H7114","National PACE","National PACE","01/01/2015","Not-for-Profit/Non-Profit","Valire PACE Foundation","Dallas","235","721 NW 6th Street","","Oklahoma City","OK","73102","PACE Director","Bailey","Brandy","","1-405-609-3682","","","brandy.bailey@valir.com","700 NW 7th St","","Oklahoma City","OK","73102","12/30/2013"
